2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
210760,13130,2
210762,67600,2
210763,19351,5
210764,41601,4
210766,1600,2
210767,54000,5
210768,51400,3
210769,12050,2
210770,11780,3
210772,5480,4
210773,37400,6
210774,36680,3
210775,16700,2
210776,89000,4
210777,16000,4
210778,86400,3
210779,10688,2
210780,28060,3
210781,43200,3
210782,79920,3
210784,18000,4
210785,87000,3
210786,30000,3
210787,65960,3
210789,26000,3
210790,39640,2
210791,20000,3
210793,39200,2
210794,10200,3
210795,46800,2
210797,54200,3
210799,2000,4
210800,16884,5
210801,40078,3
210805,38400,4
210806,61100,5
210808,51600,2
210809,15600,2
210810,46000,2
210811,41760,2
210814,25100,4
210817,14220,5
210822,141200,3
210825,10000,3
210829,38100,5
210830,53240,3
210834,69080,6
210836,27500,3
210838,34040,3
210840,44200,4
210841,65280,4
210843,34220,4
210844,15000,3
210845,36200,2
210846,27560,2
210847,20500,2
210848,40510,3
210849,65536,3
210851,2140,2
210853,36750,4
210854,33900,1
210855,66335,2
210857,32980,3
210858,127154,4
210859,10717,4
210860,34060,3
210861,245,1
210863,53231,7
210864,63194,5
210865,32220,3
210866,7604,2
210867,150,4
210868,34800,4
210869,20000,3
210871,71600,3
210873,77520,3
210878,119400,3
210879,28000,4
